item,case_id,direction,engine
1,ha2en-2fa3585de2,ha->en,opus
2,ha2en-e8da3d1a67,ha->en,opus
3,en2ha-cd54fc4949,en->ha,opus
4,ha2en-d9dc5a0ab6,ha->en,opus
5,ha2en-a34336a6bd,ha->en,opus
6,en2ha-a2c795463f,en->ha,opus
7,en2ha-251e5c0414,en->ha,m2m100
8,ha2en-f159220d99,ha->en,opus
9,en2ha-cd54fc4949,en->ha,m2m100
10,ha2en-12571d0177,ha->en,opus
11,en2ha-9713402736,en->ha,m2m100
12,en2ha-4b6d9c5eed,en->ha,m2m100
13,ha2en-423e36adf0,ha->en,m2m100
14,en2ha-33008a690d,en->ha,m2m100
15,ha2en-ada8637c10,ha->en,m2m100
16,en2ha-f65774c7e3,en->ha,m2m100
17,ha2en-176bfeb912,ha->en,m2m100
18,en2ha-975f84b293,en->ha,opus
19,en2ha-0736925102,en->ha,m2m100
20,ha2en-c97c91dffa,ha->en,m2m100
21,ha2en-736d39d815,ha->en,m2m100
22,en2ha-f6389e051f,en->ha,opus
23,en2ha-f5cf3e80e0,en->ha,m2m100
24,ha2en-deed5fd3ae,ha->en,m2m100
25,ha2en-2b2d64f0a4,ha->en,m2m100
26,en2ha-da420a5c6e,en->ha,opus
27,en2ha-da420a5c6e,en->ha,m2m100
28,ha2en-e8cd30c5e0,ha->en,opus
29,ha2en-852656af03,ha->en,opus
30,ha2en-29d591f850,ha->en,opus
31,ha2en-c8633a240e,ha->en,m2m100
32,en2ha-c4b1ce297e,en->ha,opus
33,en2ha-251e5c0414,en->ha,opus
34,ha2en-225d7ba698,ha->en,opus
35,en2ha-4b6d9c5eed,en->ha,opus
36,ha2en-1c1ba46e74,ha->en,opus
37,ha2en-f4f98fd30c,ha->en,opus
38,ha2en-0fdea97fbf,ha->en,m2m100
39,en2ha-65dd17f8eb,en->ha,opus
40,en2ha-65dd17f8eb,en->ha,m2m100
41,en2ha-33008a690d,en->ha,opus
42,en2ha-547d60bd43,en->ha,m2m100
43,en2ha-9713402736,en->ha,opus
44,ha2en-227219d57f,ha->en,opus
45,en2ha-975f84b293,en->ha,m2m100
46,en2ha-f6389e051f,en->ha,m2m100
47,en2ha-547d60bd43,en->ha,opus
48,en2ha-c4b1ce297e,en->ha,m2m100
49,ha2en-87463dd307,ha->en,m2m100
50,ha2en-8f9c593124,ha->en,m2m100
51,ha2en-22e62f4d7d,ha->en,m2m100
52,en2ha-0736925102,en->ha,opus
53,ha2en-943c142530,ha->en,opus
54,ha2en-ceebec6b4f,ha->en,m2m100
55,ha2en-3f90ac5ff9,ha->en,opus
56,en2ha-f65774c7e3,en->ha,opus
57,en2ha-a2c795463f,en->ha,m2m100
58,ha2en-514e2dc875,ha->en,m2m100
59,ha2en-34e885a0f2,ha->en,m2m100
60,en2ha-f5cf3e80e0,en->ha,opus
