item,case_id,direction,engine
1,ig2en-a699296234,ig->en,opus
2,ig2en-84f306d5c4,ig->en,opus
3,en2ig-24d02cbfc3,en->ig,opus
4,ig2en-f5e9aa6875,ig->en,opus
5,ig2en-36101fe198,ig->en,opus
6,en2ig-59f9f626be,en->ig,opus
7,en2ig-1d7dd44c13,en->ig,m2m100
8,ig2en-3fd9f5d532,ig->en,opus
9,en2ig-24d02cbfc3,en->ig,m2m100
10,ig2en-6687868f95,ig->en,opus
11,en2ig-c75594d68a,en->ig,m2m100
12,en2ig-a0a4a5bcb2,en->ig,m2m100
13,ig2en-68257d00c6,ig->en,m2m100
14,en2ig-d5a0e11861,en->ig,m2m100
15,ig2en-57aff266da,ig->en,m2m100
16,en2ig-7b2a4cf6d8,en->ig,m2m100
17,ig2en-11c3c2a4b2,ig->en,m2m100
18,en2ig-37b3b74f61,en->ig,opus
19,en2ig-49876fdb23,en->ig,m2m100
20,ig2en-13a4a68834,ig->en,m2m100
21,ig2en-fe74abc03e,ig->en,m2m100
22,en2ig-4f74e365cb,en->ig,opus
23,en2ig-33489d6292,en->ig,m2m100
24,ig2en-e0fcbfc55a,ig->en,m2m100
25,ig2en-cb79052ee0,ig->en,m2m100
26,en2ig-bd364bb3b1,en->ig,opus
27,en2ig-bd364bb3b1,en->ig,m2m100
28,ig2en-566772181f,ig->en,opus
29,ig2en-b5906baae0,ig->en,opus
30,ig2en-fc7e7cd156,ig->en,opus
31,ig2en-f411f17171,ig->en,m2m100
32,en2ig-e325f732cb,en->ig,opus
33,en2ig-1d7dd44c13,en->ig,opus
34,ig2en-fa3cb14070,ig->en,opus
35,en2ig-a0a4a5bcb2,en->ig,opus
36,ig2en-4fa4004bdb,ig->en,opus
37,ig2en-cfa7a8c72e,ig->en,opus
38,ig2en-8c762d366f,ig->en,m2m100
39,en2ig-56f3fcf2dd,en->ig,opus
40,en2ig-56f3fcf2dd,en->ig,m2m100
41,en2ig-d5a0e11861,en->ig,opus
42,en2ig-782a9275f2,en->ig,m2m100
43,en2ig-c75594d68a,en->ig,opus
44,ig2en-50317c6f9f,ig->en,opus
45,en2ig-37b3b74f61,en->ig,m2m100
46,en2ig-4f74e365cb,en->ig,m2m100
47,en2ig-782a9275f2,en->ig,opus
48,en2ig-e325f732cb,en->ig,m2m100
49,ig2en-b5ae958e0f,ig->en,m2m100
50,ig2en-db8de7dd75,ig->en,m2m100
51,ig2en-aba40ffdae,ig->en,m2m100
52,en2ig-49876fdb23,en->ig,opus
53,ig2en-237a0f3413,ig->en,opus
54,ig2en-06ce83c1c7,ig->en,m2m100
55,ig2en-664d222013,ig->en,opus
56,en2ig-7b2a4cf6d8,en->ig,opus
57,en2ig-59f9f626be,en->ig,m2m100
58,ig2en-00707e2322,ig->en,m2m100
59,ig2en-6124885eab,ig->en,m2m100
60,en2ig-33489d6292,en->ig,opus
