item,case_id,direction,engine
1,yo2en-e3cd021a9f,yo->en,opus
2,yo2en-60cb0e1fec,yo->en,opus
3,en2yo-f3eb0ba758,en->yo,opus
4,yo2en-c7561a4be2,yo->en,opus
5,yo2en-16139730b7,yo->en,opus
6,en2yo-e4ece6befd,en->yo,opus
7,en2yo-819f078f4f,en->yo,m2m100
8,yo2en-72f01d29be,yo->en,opus
9,en2yo-f3eb0ba758,en->yo,m2m100
10,yo2en-accfe42149,yo->en,opus
11,en2yo-ae11cf08f2,en->yo,m2m100
12,en2yo-dd951cb3bf,en->yo,m2m100
13,yo2en-6abfddb784,yo->en,m2m100
14,en2yo-4bd30069c7,en->yo,m2m100
15,yo2en-2e5ac6e00c,yo->en,m2m100
16,en2yo-272dee2d08,en->yo,m2m100
17,yo2en-1ce19912ca,yo->en,m2m100
18,en2yo-4fd5b0dd3c,en->yo,opus
19,en2yo-22672546b3,en->yo,m2m100
20,yo2en-93f81e5149,yo->en,m2m100
21,yo2en-3e2b9e85b7,yo->en,m2m100
22,en2yo-8610dec7f2,en->yo,opus
23,en2yo-a7c08ed29d,en->yo,m2m100
24,yo2en-bc518a2e8b,yo->en,m2m100
25,yo2en-f4b1e5663e,yo->en,m2m100
26,en2yo-af58a581ca,en->yo,opus
27,en2yo-af58a581ca,en->yo,m2m100
28,yo2en-5c1217c671,yo->en,opus
29,yo2en-ce6b70142d,yo->en,opus
30,yo2en-3788bc7a89,yo->en,opus
31,yo2en-9a480f6bdc,yo->en,m2m100
32,en2yo-504a016629,en->yo,opus
33,en2yo-819f078f4f,en->yo,opus
34,yo2en-b7f8a11b52,yo->en,opus
35,en2yo-dd951cb3bf,en->yo,opus
36,yo2en-db9d414a49,yo->en,opus
37,yo2en-481561a92c,yo->en,opus
38,yo2en-594fa9ee99,yo->en,m2m100
39,en2yo-c810bed69f,en->yo,opus
40,en2yo-c810bed69f,en->yo,m2m100
41,en2yo-4bd30069c7,en->yo,opus
42,en2yo-ba2a4fb203,en->yo,m2m100
43,en2yo-ae11cf08f2,en->yo,opus
44,yo2en-4137bdf52f,yo->en,opus
45,en2yo-4fd5b0dd3c,en->yo,m2m100
46,en2yo-8610dec7f2,en->yo,m2m100
47,en2yo-ba2a4fb203,en->yo,opus
48,en2yo-504a016629,en->yo,m2m100
49,yo2en-82e78fbbf5,yo->en,m2m100
50,yo2en-b431b58115,yo->en,m2m100
51,yo2en-9dc5c80531,yo->en,m2m100
52,en2yo-22672546b3,en->yo,opus
53,yo2en-ceb0d113d3,yo->en,opus
54,yo2en-781f81462b,yo->en,m2m100
55,yo2en-132ff66724,yo->en,opus
56,en2yo-272dee2d08,en->yo,opus
57,en2yo-e4ece6befd,en->yo,m2m100
58,yo2en-793daa8abb,yo->en,m2m100
59,yo2en-03dba8c899,yo->en,m2m100
60,en2yo-a7c08ed29d,en->yo,opus
