item,case_id,direction,engine
1,en2ha-c4b1ce297e,en->ha,m2m100
2,en2ha-975f84b293,en->ha,madlad
3,en2ha-f65774c7e3,en->ha,madlad
4,en2ha-f6389e051f,en->ha,m2m100
5,en2ha-da420a5c6e,en->ha,madlad
6,en2ha-a2c795463f,en->ha,m2m100
7,en2ha-da420a5c6e,en->ha,m2m100
8,en2ha-251e5c0414,en->ha,madlad
9,en2ha-33008a690d,en->ha,madlad
10,en2ha-f6389e051f,en->ha,madlad
11,en2ha-65dd17f8eb,en->ha,m2m100
12,en2ha-4b6d9c5eed,en->ha,madlad
13,en2ha-251e5c0414,en->ha,m2m100
14,en2ha-547d60bd43,en->ha,madlad
15,en2ha-4b6d9c5eed,en->ha,m2m100
16,en2ha-33008a690d,en->ha,m2m100
17,en2ha-9713402736,en->ha,m2m100
18,en2ha-975f84b293,en->ha,m2m100
19,en2ha-65dd17f8eb,en->ha,madlad
20,en2ha-547d60bd43,en->ha,m2m100
21,en2ha-c4b1ce297e,en->ha,madlad
22,en2ha-cd54fc4949,en->ha,madlad
23,en2ha-9713402736,en->ha,madlad
24,en2ha-cd54fc4949,en->ha,m2m100
25,en2ha-f5cf3e80e0,en->ha,madlad
26,en2ha-0736925102,en->ha,m2m100
27,en2ha-f65774c7e3,en->ha,m2m100
28,en2ha-a2c795463f,en->ha,madlad
29,en2ha-0736925102,en->ha,madlad
30,en2ha-f5cf3e80e0,en->ha,m2m100
