item,case_id,direction,engine
1,en2ig-e325f732cb,en->ig,m2m100
2,en2ig-37b3b74f61,en->ig,madlad
3,en2ig-7b2a4cf6d8,en->ig,madlad
4,en2ig-4f74e365cb,en->ig,m2m100
5,en2ig-bd364bb3b1,en->ig,madlad
6,en2ig-59f9f626be,en->ig,m2m100
7,en2ig-bd364bb3b1,en->ig,m2m100
8,en2ig-1d7dd44c13,en->ig,madlad
9,en2ig-d5a0e11861,en->ig,madlad
10,en2ig-4f74e365cb,en->ig,madlad
11,en2ig-56f3fcf2dd,en->ig,m2m100
12,en2ig-a0a4a5bcb2,en->ig,madlad
13,en2ig-1d7dd44c13,en->ig,m2m100
14,en2ig-782a9275f2,en->ig,madlad
15,en2ig-a0a4a5bcb2,en->ig,m2m100
16,en2ig-d5a0e11861,en->ig,m2m100
17,en2ig-c75594d68a,en->ig,m2m100
18,en2ig-37b3b74f61,en->ig,m2m100
19,en2ig-56f3fcf2dd,en->ig,madlad
20,en2ig-782a9275f2,en->ig,m2m100
21,en2ig-e325f732cb,en->ig,madlad
22,en2ig-24d02cbfc3,en->ig,madlad
23,en2ig-c75594d68a,en->ig,madlad
24,en2ig-24d02cbfc3,en->ig,m2m100
25,en2ig-33489d6292,en->ig,madlad
26,en2ig-49876fdb23,en->ig,m2m100
27,en2ig-7b2a4cf6d8,en->ig,m2m100
28,en2ig-59f9f626be,en->ig,madlad
29,en2ig-49876fdb23,en->ig,madlad
30,en2ig-33489d6292,en->ig,m2m100
