item,case_id,direction,engine
1,en2yo-504a016629,en->yo,m2m100
2,en2yo-4fd5b0dd3c,en->yo,opus
3,en2yo-272dee2d08,en->yo,opus
4,en2yo-8610dec7f2,en->yo,m2m100
5,en2yo-af58a581ca,en->yo,opus
6,en2yo-e4ece6befd,en->yo,m2m100
7,en2yo-af58a581ca,en->yo,m2m100
8,en2yo-819f078f4f,en->yo,opus
9,en2yo-4bd30069c7,en->yo,opus
10,en2yo-8610dec7f2,en->yo,opus
11,en2yo-c810bed69f,en->yo,m2m100
12,en2yo-dd951cb3bf,en->yo,opus
13,en2yo-819f078f4f,en->yo,m2m100
14,en2yo-ba2a4fb203,en->yo,opus
15,en2yo-dd951cb3bf,en->yo,m2m100
16,en2yo-4bd30069c7,en->yo,m2m100
17,en2yo-ae11cf08f2,en->yo,m2m100
18,en2yo-4fd5b0dd3c,en->yo,m2m100
19,en2yo-c810bed69f,en->yo,opus
20,en2yo-ba2a4fb203,en->yo,m2m100
21,en2yo-504a016629,en->yo,opus
22,en2yo-f3eb0ba758,en->yo,opus
23,en2yo-ae11cf08f2,en->yo,opus
24,en2yo-f3eb0ba758,en->yo,m2m100
25,en2yo-a7c08ed29d,en->yo,opus
26,en2yo-22672546b3,en->yo,m2m100
27,en2yo-272dee2d08,en->yo,m2m100
28,en2yo-e4ece6befd,en->yo,opus
29,en2yo-22672546b3,en->yo,opus
30,en2yo-a7c08ed29d,en->yo,m2m100
