item,case_id,direction,engine
1,ha2en-736d39d815,ha->en,m2m100
2,ha2en-187f8d0e16,ha->en,opus
3,en2ha-68d3e993d5,en->ha,m2m100
4,ha2en-95f9de6221,ha->en,opus
5,en2ha-3c6049733e,en->ha,opus
6,ha2en-183be072fc,ha->en,opus
7,en2ha-c3d8b39e89,en->ha,m2m100
8,ha2en-9cba23d0a2,ha->en,m2m100
9,en2ha-23bc91d748,en->ha,m2m100
10,ha2en-b886cef68f,ha->en,opus
11,en2ha-f5cf3e80e0,en->ha,m2m100
12,ha2en-f4f3ba6461,ha->en,opus
13,en2ha-7bb06a68a2,en->ha,opus
14,en2ha-33008a690d,en->ha,m2m100
15,en2ha-33008a690d,en->ha,opus
16,ha2en-e8da3d1a67,ha->en,opus
17,ha2en-50c8bf4659,ha->en,opus
18,ha2en-c8633a240e,ha->en,m2m100
19,en2ha-97bf32dbdd,en->ha,opus
20,ha2en-8f71a23896,ha->en,m2m100
21,ha2en-423e36adf0,ha->en,m2m100
22,en2ha-6a0a9078bc,en->ha,opus
23,en2ha-90105c4079,en->ha,opus
24,en2ha-68d3e993d5,en->ha,opus
25,en2ha-96c59bc2be,en->ha,opus
26,ha2en-f4f98fd30c,ha->en,opus
27,ha2en-0cbf99f97b,ha->en,opus
28,ha2en-35ff61b8a0,ha->en,m2m100
29,ha2en-dd6e8f32d9,ha->en,m2m100
30,en2ha-97bf32dbdd,en->ha,m2m100
31,ha2en-3620ae5184,ha->en,opus
32,en2ha-8ad830f1a5,en->ha,m2m100
33,ha2en-ada8637c10,ha->en,m2m100
34,en2ha-0736925102,en->ha,m2m100
35,ha2en-a34336a6bd,ha->en,opus
36,ha2en-c97c91dffa,ha->en,m2m100
37,en2ha-c9f3d1aa1f,en->ha,m2m100
38,ha2en-2b2d64f0a4,ha->en,m2m100
39,en2ha-da420a5c6e,en->ha,opus
40,en2ha-0a24e1e8a5,en->ha,m2m100
41,ha2en-513a314fc2,ha->en,opus
42,en2ha-a2c795463f,en->ha,m2m100
43,ha2en-1c1ba46e74,ha->en,opus
44,ha2en-943c142530,ha->en,opus
45,ha2en-bee385928c,ha->en,m2m100
46,en2ha-11d4af44a5,en->ha,opus
