item,case_id,direction,engine
1,ig2en-fe74abc03e,ig->en,m2m100
2,ig2en-69d7f6a4e0,ig->en,opus
3,en2ig-5ca0410f16,en->ig,m2m100
4,ig2en-5bd6cc649d,ig->en,opus
5,en2ig-bf253a2628,en->ig,opus
6,ig2en-c29321595b,ig->en,opus
7,en2ig-3e0b945ac9,en->ig,m2m100
8,ig2en-6feba426f3,ig->en,m2m100
9,en2ig-1cdc989f72,en->ig,m2m100
10,ig2en-f1124829f7,ig->en,opus
11,en2ig-33489d6292,en->ig,m2m100
12,ig2en-2dd91f2ad4,ig->en,opus
13,en2ig-7f445167b7,en->ig,opus
14,en2ig-d5a0e11861,en->ig,m2m100
15,en2ig-d5a0e11861,en->ig,opus
16,ig2en-84f306d5c4,ig->en,opus
17,ig2en-f5a9dd1502,ig->en,opus
18,ig2en-f411f17171,ig->en,m2m100
19,en2ig-fd0df57c1a,en->ig,opus
20,ig2en-a0841be92a,ig->en,m2m100
21,ig2en-68257d00c6,ig->en,m2m100
22,en2ig-beaa012397,en->ig,opus
23,en2ig-ae844cbc79,en->ig,opus
24,en2ig-5ca0410f16,en->ig,opus
25,en2ig-a3a4e1241e,en->ig,opus
26,ig2en-cfa7a8c72e,ig->en,opus
27,ig2en-d8415c142f,ig->en,opus
28,ig2en-0fe8fda22c,ig->en,m2m100
29,ig2en-c3a8515c9f,ig->en,m2m100
30,en2ig-fd0df57c1a,en->ig,m2m100
31,ig2en-3452b9ed68,ig->en,opus
32,en2ig-4f245e6f15,en->ig,m2m100
33,ig2en-57aff266da,ig->en,m2m100
34,en2ig-49876fdb23,en->ig,m2m100
35,ig2en-36101fe198,ig->en,opus
36,ig2en-13a4a68834,ig->en,m2m100
37,en2ig-7f7fb4727d,en->ig,m2m100
38,ig2en-cb79052ee0,ig->en,m2m100
39,en2ig-bd364bb3b1,en->ig,opus
40,en2ig-c369b7d49a,en->ig,m2m100
41,ig2en-a7b688c638,ig->en,opus
42,en2ig-59f9f626be,en->ig,m2m100
43,ig2en-4fa4004bdb,ig->en,opus
44,ig2en-237a0f3413,ig->en,opus
45,ig2en-51e9d3e998,ig->en,m2m100
46,en2ig-52359bea24,en->ig,opus
47,ig2en-06ce83c1c7,ig->en,m2m100
48,ig2en-00707e2322,ig->en,m2m100
49,ig2en-6687868f95,ig->en,opus
50,en2ig-1cdc989f72,en->ig,opus
51,en2ig-7b2a4cf6d8,en->ig,m2m100
52,ig2en-6655497519,ig->en,m2m100
53,ig2en-03e9f74416,ig->en,m2m100
54,ig2en-8c8e98f9fe,ig->en,opus
55,en2ig-59f9f626be,en->ig,opus
56,en2ig-7f7fb4727d,en->ig,opus
57,ig2en-522459e51e,ig->en,m2m100
58,en2ig-ae844cbc79,en->ig,m2m100
59,ig2en-b5906baae0,ig->en,opus
