item,case_id,direction,engine
1,yo2en-3e2b9e85b7,yo->en,m2m100
2,yo2en-5ba9114b13,yo->en,opus
3,en2yo-ba89a84eb1,en->yo,m2m100
4,yo2en-587e0d60e9,yo->en,opus
5,en2yo-cbbbdae6cd,en->yo,opus
6,yo2en-fd6c6cee6d,yo->en,opus
7,en2yo-adebe026b0,en->yo,m2m100
8,yo2en-0135d71234,yo->en,m2m100
9,en2yo-32be320c6d,en->yo,m2m100
10,yo2en-ba9257cb15,yo->en,opus
11,en2yo-a7c08ed29d,en->yo,m2m100
12,yo2en-9c29e549b9,yo->en,opus
13,en2yo-b38833993b,en->yo,opus
14,en2yo-4bd30069c7,en->yo,m2m100
15,en2yo-4bd30069c7,en->yo,opus
16,yo2en-60cb0e1fec,yo->en,opus
17,yo2en-bf2d87f04c,yo->en,opus
18,yo2en-9a480f6bdc,yo->en,m2m100
19,en2yo-28fb0d1047,en->yo,opus
20,yo2en-6594f0f137,yo->en,m2m100
21,yo2en-6abfddb784,yo->en,m2m100
22,en2yo-44a4ec8b91,en->yo,opus
23,en2yo-1c75a140b5,en->yo,opus
24,en2yo-ba89a84eb1,en->yo,opus
25,en2yo-3f098f178a,en->yo,opus
26,yo2en-481561a92c,yo->en,opus
27,yo2en-2534f1b12e,yo->en,opus
28,yo2en-27b065da10,yo->en,m2m100
29,yo2en-cc919d8333,yo->en,m2m100
30,en2yo-28fb0d1047,en->yo,m2m100
31,yo2en-6d2e8f6e14,yo->en,opus
32,en2yo-1a88f9e764,en->yo,m2m100
33,yo2en-2e5ac6e00c,yo->en,m2m100
34,en2yo-22672546b3,en->yo,m2m100
35,yo2en-16139730b7,yo->en,opus
36,yo2en-93f81e5149,yo->en,m2m100
37,en2yo-f0c8b46c2f,en->yo,m2m100
38,yo2en-f4b1e5663e,yo->en,m2m100
39,en2yo-af58a581ca,en->yo,opus
40,en2yo-799407613d,en->yo,m2m100
41,yo2en-a8afc5e85b,yo->en,opus
42,en2yo-e4ece6befd,en->yo,m2m100
43,yo2en-db9d414a49,yo->en,opus
44,yo2en-ceb0d113d3,yo->en,opus
45,yo2en-37a983f932,yo->en,m2m100
46,en2yo-427f753ff1,en->yo,opus
47,yo2en-781f81462b,yo->en,m2m100
48,yo2en-793daa8abb,yo->en,m2m100
49,yo2en-accfe42149,yo->en,opus
50,en2yo-32be320c6d,en->yo,opus
51,en2yo-272dee2d08,en->yo,m2m100
52,yo2en-b49e67bdb1,yo->en,m2m100
53,yo2en-0a4b9f1647,yo->en,m2m100
54,yo2en-4f123755bf,yo->en,opus
55,en2yo-e4ece6befd,en->yo,opus
56,en2yo-f0c8b46c2f,en->yo,opus
57,yo2en-f70c361d04,yo->en,m2m100
58,en2yo-1c75a140b5,en->yo,m2m100
59,yo2en-ce6b70142d,yo->en,opus
60,yo2en-24636ffa48,yo->en,m2m100
61,yo2en-5a3875ca33,yo->en,opus
62,en2yo-8610dec7f2,en->yo,m2m100
63,en2yo-b38833993b,en->yo,m2m100
64,yo2en-e3cd021a9f,yo->en,opus
65,yo2en-82e78fbbf5,yo->en,m2m100
66,en2yo-dd951cb3bf,en->yo,m2m100
67,en2yo-22672546b3,en->yo,opus
68,yo2en-3f0c1ef97d,yo->en,m2m100
69,yo2en-31761c5c9a,yo->en,m2m100
70,en2yo-1041bec099,en->yo,m2m100
71,yo2en-bc518a2e8b,yo->en,m2m100
72,en2yo-f5c6273b2f,en->yo,opus
73,yo2en-c7561a4be2,yo->en,opus
74,yo2en-aabda0939e,yo->en,opus
75,en2yo-504a016629,en->yo,opus
